name,bouts,KOs
VICENTE PORTILLO DIAZ,13,61.54
THATO BONOKOANE,21,42.86
BRAYAN ZAMARRIPA RODRIGUEZ,13,30.77
SAMUEL SALVA,20,60
RIGOBERTO HERMOSILLO,18,50
GANIGAN LOPEZ,49,38.78
KEVIN BARRON CRESPO,9,77.78
NIKITA ABABIY,12,50
JASON WHATELEY,10,90
ALEXANDER ESPINOZA,27,29.63
ODIN JUAREZ BAEZ,14,21.43
WALID OUIZZA,18,44.44
JAIME MUNOZ,14,57.14
MARCO EZEQUIEL GARCIA OVEJERO,9,66.67
BLAKE WELLS,6,33.33
OLIVER MENG,9,33.33
CARLOS MOLINA,52,23.08
GAREN DIAGAN,11,36.36
ROLI GASCA,37,24.32
HOUCINE MOULAHI,16,12.5
RYOTA YAMAUCHI,10,70
CARLOS ORTIZ CERVANTES,18,72.22
ERIC MOLINA,37,56.76
MELVIN LOPEZ,28,64.29
JIROLIAN RIKU,17,76.47
KEYSHAWN DAVIS,5,80
AVERY MARTIN DUVAL,9,44.44
JAVIER MARTINEZ,7,28.57
STEPHEN MCKENNA,12,91.67
JORGE LUGO COTA,8,62.5
RONALD GAVRIL,24,70.83
DEON NICHOLSON,16,81.25
CHRIS BOURKE,11,54.55
VAN THAO TRAN,15,60
GERMAN VALENZUELA BARRERAS,21,57.14
RAFAL WOLCZECKI,6,66.67
EZEQUIEL OSVALDO MADERNA,36,47.22
ARNOLD OBODAI,2,50
KATSUYA MURAKAMI,16,18.75
ISMAEL FLORES,7,71.43
ISRAEL DUFFUS,28,60.71
ABDESSAMAD NECHCHAD,17,5.88
ALEXANDER FRANK,22,81.82
PAULO CESAR GALDINO,17,47.06
FAIZAN ANWAR,13,46.15
TYRONE JAMES,12,75
TOM HILL,13,15.38
STEFANO ABATANGELO,34,29.41
ELLIOT WHALE,6,33.33
MARCO ANTONIO PERIBAN,33,51.52
WINSTON ALEXANDER GUERRERO BALTODANO,17,64.71
VICTOR EZEQUIEL RODRIGUEZ,9,33.33
BRIAN BARRAGAN RICO,10,80
YUYA OKU,4,50
CLARENCE BOOTH,26,50
RYAN MARTIN,18,33.33
EDWIN CANO HERNANDEZ,11,18.18
JAMES WILKINS,12,50
KENBATI HAIYILAO,11,18.18
MIGUEL GERMAN ACOSTA,27,3.7
ELIAS ESPADAS,28,53.57
JEAN CARLOS TORRES,21,76.19
BYRON ROJAS,37,29.73
ISAIAH WISE,15,40
MAIKOL BEAUMONT,22,31.82
STANYSLAV SKOROKHOD,23,73.91
SOREIKE TAICHI,14,35.71
LIVAN NAVARRO,13,53.85
FRANCISCO MERCADO DELGADILLO,8,25
FABIAN ANDRES MAIDANA,20,65
EVGENY TERENTIEV,24,33.33
SALIMU JENGO,21,47.62
TYLER HOWARD,20,55
GASPAR FERNANDEZ,4,100
MIRZAKAMOL NEMATOV,10,30
SHINGO KUSANO,24,20.83
KJ CATARAJA,15,86.67
LUVUYO SIZANI,6,50
MOISES GARCIA ZENTENO,6,16.67
JULIUS INDONGO,30,43.33
EMILIO SANCHEZ,21,57.14
BRANDON ROMERO HERRERA,16,37.5
YEIS GABRIEL SOLANO,17,58.82
CUAHUTLI GUERRERO,17,35.29
ALAN SOLIS HOLGUIN,17,47.06
JUSTIN FROST,16,25
RYOHEI TAKAHASHI,26,30.77
CALLUM SIMPSON,9,77.78
FERNANDO JAQUERO,7,42.86
CARLOS BALDERAS,14,78.57
MAIDEL SANDO,12,66.67
LEONARDO BAEZ,27,44.44
ROHAN MURDOCK,28,67.86
MUKSINI SWALEHE,11,9.09
LUIS CERRITO HERNANDEZ,19,36.84
REUQUEN CONA FACUNDO ARCE,24,29.17
LUIS LOPEZ,14,28.57
NICOLAS EMILIANO PAZ,17,17.65
KEVIN LUIS MUNOZ,16,31.25
YOUSSEF KHOUMARI,16,31.25
ROBIN SIRWAN SAFAR,15,73.33
KASH ALI,22,54.55
BRANDON DESLAURIER,21,14.29
AYOUB EL FAHMI,5,40
PETER KADIRU,14,50
JOSHUA CONLEY,22,50
KIERAN SMITH,18,38.89
MIKHAIL DAUHALIAVETS,6,100
SABARI J,7,28.57
CRISTIAN RAFAEL CORIA,41,31.71
ROBERT TALAREK,44,40.91
LUKE WILLIS,12,8.33
CARLOS ORNELAS,30,50
MARTIN ELIGIO RODRIGUEZ,11,63.64
JAMES MARTIN,12,0
MOHAMED EL MARCOUCHI,31,35.48
HECTOR GARCIA DOLORES,14,35.71
KENDO CASTANEDA,25,36
TARAS GOLOVASHCHENKO,11,27.27
JOSUKE NAGATA,3,0
AYATO HIROMOTO,6,33.33
JOEY LAVIOLETTE,15,46.67
KAI ISHIZAWA,12,75
KALVIN HENDERSON,18,61.11
NABIL MESSAOUDI,8,100
ROHAN DATE,15,60
GLEB BAKSHI,1,100
RYLAN CHARLTON,13,30.77
ABDOULAYE MAYWEATHER,7,71.43
JEREMY CUEVAS,15,66.67
YAN MARCOS,6,83.33
LINDILE TSHEMESE,19,26.32
KEISUKE MATSUMOTO,6,100
LORENZO SIMPSON,11,63.64
CHRISTIAN BACOLOD,16,62.5
YUTTAPONG TONGDEE,8,50
ARTUR OSIPOV,25,48
ALEJANDRO FRIAS RODRIGUEZ,22,27.27
SERGEI GOROKHOV,18,38.89
LUCAS DE ABREU,15,73.33
CHICO KWASI,8,25
TONY BROWNE,7,0
GABRIEL PHAM,18,44.44
RICKY SUMMERS,22,27.27
MARK JOHN YAP,47,31.91
YUSUKE MINE,6,33.33
ANTONIO TODD,20,35
HUGO CENTENO JR,34,44.12
WILLIAM LANGSTON,9,44.44
RYU HORIKAWA,6,16.67
GOR KHACHATRYAN,4,100
JONATHAN TACONING,35,62.86
JACK MARTIN,6,33.33
CEDRIC VITU,53,35.85
HECTOR VALDEZ,15,53.33
KAITO YAMASAKI,3,33.33
KEN OSATO,23,21.74
AVORAN GRAHAM,10,60
PABLO ROBLES,19,52.63
LASHA GURGULIANI,26,34.62
JACK FLATLEY,22,18.18
WISTON CAMPOS,48,39.58
SAUL BUSTOS,17,47.06
CURTIS STEVENS,38,57.89
NAJEE LOPEZ,5,100
ALEXANDER RIGAS,19,36.84
BRAIAN NAHUEL SUAREZ,18,88.89
ANIBAL CLETO FRANCISCO,10,90
SIKHO MOSHANI,8,25
COWIN RAY,8,75
REECE BELLOTTI,20,65
SERVER EMURLAEV,27,29.63
JOHN LARYEA,11,72.73
RICO MUELLER,34,55.88
KAYNE CLARKE,12,75
JESUS SILVEYRA CARRILLO,20,20
AMIN HACHIMI,9,66.67
SANG HUN OH,8,62.5
TAISON MUKAIYAMA,10,40
ORLANDO GONZALEZ RUIZ,19,57.89
FATEH BENKORICHI,14,14.29
MARCUS MORRISON,31,51.61
ORLANDO FIORDIGIGLIO,39,38.46
SHORI UMEZU,9,66.67
TORU KIYOTA,16,50
TATSUYA YANAGI,27,25.93
LUIS MANUEL BALTAZAR,10,50
SINETHEMBA KOTANA,12,41.67
BRANDEN PIZARRO,19,52.63
ALEXANDER PAVLOV,17,58.82
MILAN MELINDO,43,32.56
ZSOLT OSADAN,23,65.22
QUENTIN GOMES,14,28.57
NIKITA TSZYU,3,66.67
JOHN PAUL GABUNILAS,9,66.67
KAI WATANABE,9,44.44
JORGE LUIS MARTINEZ MONREAL,16,50
JUAN RUIZ,36,52.78
VARAZDAT MKRTCHYAN,13,23.08
THANONGSAK SIMSRI,25,88
JAIDER PARRA,40,55
MAURO PEROUENE,22,31.82
RADOMIR OBRUSNIAK,7,28.57
ISSAC LUNA,10,10
JACK MCGANN,8,50
EDVINAS PUPLAUSKAS,38,13.16
TOM FARRELL,26,19.23
ADAM STEWART,15,53.33
BRAD STRAND,8,37.5
HYUMA FUJIOKA,24,8.33
YAKUP SAGLAM,54,77.78
BRIX PIALA,5,40
KHAINELL WHEELER,9,66.67
MAIALA ANTONIO,16,37.5
LUIS LOMELI,8,37.5
LAVONTE EARLEY,15,60
ERKAN TEPER,25,52
FREDRICK LAWSON,31,67.74
DAMIAN JONAK,45,46.67
FADHILI MAJIHA,46,30.43
EDGAR VALENCIA,22,13.64
ANTONIO LOZADA,47,72.34
PAULINUS NDJOLONIMU,14,85.71
EDWARD JERAMIE ORTIZ,15,33.33
VILDAN MINASOV,9,55.56
AXEL TALAVERA CARRILLO,12,16.67
VITALY KUDUKHOV,6,33.33
DEFRY PALULU,29,48.28
EVGENII LIASHKOV,13,15.38
KENTO YABUSAKI,16,31.25
ALEXIS GARCIA,12,58.33
JEFF OFORI,16,18.75
JUNIOR LEANDRO ZARATE,21,33.33
WALTER CASTILLO,36,55.56
JAHI TUCKER,8,62.5
EDDY LACROSSE,23,26.09
KEVIN THOMAS COJEAN,42,26.19
TONY DIXON,16,25
DEWAYNE BEAMON,28,53.57
CAMERON KRAEL,44,13.64
MICHAEL MENDOZA,15,26.67
BLAKE MINTO,19,15.79
FAIGA OPELU,18,55.56
PRINCE ANDREW LAURIO,16,56.25
BERNARDIN JAKAJ,12,66.67
VYACHESLAV GUSEV,34,23.53
FELIX VALERA,25,68
EDIXON PEREZ,34,58.82
MIRCO CUELLO,9,88.89
GERARDO ANTONIO PEREZ,12,16.67
RODOLFO BUSTAMANTE SALAZAR,20,55
HENRIQUES LANDO,10,70
ARBLIN KABA,18,11.11
SANTIAGO DOMINGUEZ,25,76
PAULO AOKUSO,2,100
LEONARDO FABIO AMITRANO,25,28
LUCKY MONYEBANE,12,33.33
IGOR ADLEIBA,15,33.33
YONG IN JO,16,12.5
JON JON ESTRADA,25,56
LUIS LEBRON,23,47.83
HOWARD COSPOLITE,31,22.58
YUGA INOUE,17,11.76
FRANCESCO SANTACROCE,12,33.33
ROBER BARRERA,30,46.67
MAXIMINO FLORES,35,51.43
SHAKHABAS MAKHMUDOV,10,90
ROBERTO ZARINANA GOMEZ,4,100
SEIICHI OKADA,32,43.75
DANILO CREATI,8,12.5
ELVIS BRAVO SALAZAR,16,56.25
OH GON KWON,13,46.15
MOISES CARO GUTIERREZ,15,33.33
ALTIN ZOGAJ,9,55.56
JOEL MCINTYRE,24,20.83
YUDEL REYES,15,26.67
YOJI SAITO,8,37.5
LUIS ROSARIO VILLAFANE,17,58.82
DIEGO ELIZONDO,9,0
CHRISTIAN BACASEGUA RANGEL,25,28
TAKUYA KOGAWA,40,35
ABDULLAH MASON,4,75
ANAUEL NGAMISSENGUE,11,63.64
HISASHI KATO,23,30.43
KENYA YAMASHITA,20,55
CRISTIAN BIELMA,24,29.17
JEROME PAMPELLONE,13,53.85
YAZID AMGHAR,25,48
EDUARDO ESTELA,13,61.54
ANDREW RODGERS,20,10
AARON PEREZ,12,50
GREG OUTLAW,13,38.46
NEHOMAR CERMENO,37,43.24
RYO MIYAZAKI,32,50
TAYLOR DUERR,14,50
VIGAN MUSTAFA,29,31.03
HIRO ICHIMICHI,8,75
ASO ISHIWAKI,16,43.75
SOFIANE OUMIHA,2,50
LAWRENCE NEWTON,15,46.67
ANGEL RAMOS SERRANO,31,58.06
PHILA MPONTSHANE,18,33.33
KONSTANTIN PONOMAREV,37,37.84
MARCELO GABRIEL SANCHEZ,14,7.14
PABLO ARIEL GOMEZ,30,3.33
CARLOS DANIEL ACOSTA,14,42.86
CHARLIE SCHOFIELD,19,5.26
LUIS ROBLES PACHECO,16,25
FRANCISCO PEDROZA PORTILLO,31,32.26
KAMIL MLODZINSKI,24,29.17
NENAD STANCIC,12,41.67
IDD PIALARI,40,52.5
CRUSE STEWART,9,66.67
EDWARD ULLOA DIAZ,16,62.5
BRIAN ROSE,41,19.51
MTHOKOZISI NGXAKA,6,33.33
HIROYUKI TAKAHARA,13,46.15
ERICK LEON,18,72.22
GEORGY YUNOVIDOV,6,50
YOUSSEF DIB,17,47.06
KEVIN TRANA,18,44.44
GIOVANNI ESCANER,25,52
NICOLAS NAHUEL BOTELLI,20,35
RUBEN NESTOR NERI MUNOZ,10,70
STEPHEN DANYO,28,25
DAMIANO FALCINELLI,16,43.75
ARMEN ATAEV,12,33.33
DIEGO GABRIEL CHAVES,37,62.16
DENIS MWALE,12,33.33
JAMSHID NOORISTANI,6,16.67
PANYA UTHOK,66,56.06
ABDURASUL ISMOILOV,10,50
MATTIA DE BIANCHI,14,0
JOHNNIE LANGSTON,15,26.67
ADRIAN SZCZYPIOR,10,30
ETINOSA OLIHA,16,43.75
LUKAS NDAFOLUMA,28,35.71
SEBASTIAN EZEQUIEL AGUIRRE,22,50
FABRICIO MIGUEL BEA,20,90
CHRISTIAN NICOLAS ANDINO,23,8.7
VICTOR EMMANUEL OLIVO,22,36.36
OMAR ROSARIO,8,25
ROSARIO SANCHEZ TERRONES,17,58.82
SIMPIWE KONKCO,27,25.93
TISETSO MODISADIFE,10,40
LUIS ARCON,14,85.71
LABINOT XHOXHAJ,16,81.25
MARCO JOHN REMENTIZO,16,62.5
MATHIS LOURENCO,16,31.25
NOLBERTO CASCO,7,57.14
PETR PETROV,51,45.1
VICTOR PADILLA,10,90
SIMONE GIORGETTI,10,40
AXEL ARAGON VEGA,21,38.1
YOSHIHIRO UTSUMI,31,32.26
DAVID TSHAMA,2,0
AGUSTIN GERBALDO KUCHARSKI,15,20
PIERRE HUBERT DIBOMBE,22,50
ORLANDO PENALBA,13,15.38
LEONARDO DI STEFANO RUIZ,10,90
ISAAC ZARATE,26,7.69
DAMIAN KNYBA,8,62.5
FLOYD SCHOFIELD,11,81.82
J'LEON LOVE,30,43.33
FERNANDO ROMERO HILARIO,11,90.91
CONNOR BUTLER,9,11.11
YERZHAN ZALILOV,19,36.84
ANGEL HERNANDEZ,40,35
RUBEN DIAZ,31,54.84
LUIS ARAUJO ARELLANO,13,61.54
JESUS SARACHO,13,84.62
CRIZTIAN PITT LAURENTE,10,60
YUKI YONAHA,16,50
AMIN JAHANZEB,12,25
RONNIE CLARK,31,32.26
RAPHAEL AKPEJIORI,14,92.86
CESAR RAMIREZ LORA,25,48
YERNY BETANCOURT,21,76.19
ERICK NOGUEDA ARAUJO,10,60
MARK JEFFERS,14,28.57
SERGE MICHEL,16,56.25
SALVADOR JIMENEZ,10,40
JEREMY HILL,19,57.89
AHMAD ALI,18,61.11
CHUMANI THUNZI,8,62.5
DRAGAN LEPEI,28,35.71
FERNANDO DIAZ,14,21.43
JOSE GONZALEZ,19,26.32
SELEMANI KIDUNDA,9,77.78
ANTHONY RIVIERE,15,13.33
DAVID BARRETO,18,83.33
JONHATAN CARDOSO,15,93.33
BRANDON VALDES,17,41.18
RICHARD SOLANO,32,43.75
JORGE SANTANA,10,70
RAFAEL MARIA DE DIOS,10,80
SHINBA YAMAGUCHI,3,66.67
AL SANDS,27,70.37
TAKESHI TAKEHARA,9,22.22
MATT SHEEHAN,10,60
YOSHIKI MINATO,16,31.25
TULIO DEKANARUDO,7,28.57
IVAN GARCIA BALDERAS,10,40
DEAN SUTHERLAND,13,30.77
TATSUYA TAKAHASHI,49,42.86
KHALIL EL HADRI,14,50
JULIO CESAR CALIMENO,8,62.5
RENE CALIXTO BIBIANO,18,38.89
ANTHONY GARNICA,11,45.45
ERICK BONE,32,40.63
ISMAEL SECK,17,17.65
MZUVUKILE MAGWACA,25,48
MZIWOXOLO NDWAYANA,28,42.86
FLORIAN MONTELS,28,17.86
ANGEL APONTE,12,58.33
ANGELINO CORDOVA,18,66.67
LUIS FERNANDO SAAVEDRA,16,18.75
TOMJUNE MANGUBAT,20,60
RICHARD MEDINA,14,50
STEVE GEFFRARD,22,59.09
JAIME RUIZ JACOBO,6,50
JUAN ZAYAS,6,83.33
AKIO FURUTANI,15,20
PAULUS AMAVILA,8,37.5
DIXON FLORES,32,18.75
CATALIN IONESCU,16,25
LYUBOMYR PINCHUK,18,44.44
MANUK DILANYAN,23,21.74
KOSHIN TAKESHIMA,8,37.5
CLAY COLLARD,18,22.22
SURIK PETROSYAN,10,20
MOISES CALLEROS,46,39.13
KRZYSZTOF TWARDOWSKI,12,50
ARMENAK HOVHANNISYAN,15,33.33
JORDAN RODRIGUEZ,6,33.33
TRIANTAFYLLOS MAVIDIS,9,77.78
RYUGO USHIJIMA,10,30
MAKSIM HARDZEIKA,11,36.36
MARC CASTRO,8,75
CURTIS HARPER,22,40.91
DEMARIUS DRIVER,13,53.85
MARCEL BRAITHWAITE,16,0
LEONARDO CARRILLO,16,50
RONAN NAHUEL SANCHEZ,8,37.5
RODRIGO FABIAN RUIZ,11,81.82
RYUTARO NAKAGAKI,5,40
REDA KHAM,12,16.67
FRANCIS CHUA,12,25
NESTOR LOPEZ CABALLERO,12,33.33
LUKE WATKINS,18,61.11
EVAN ANTHONY SANCHEZ,12,50
RYOSUKE MARUKI,27,48.15
JOSE VELASQUEZ ESPERICUETA,15,46.67
ASINIA BYFIELD,21,33.33
CESAR VACA ESPINOZA,15,60
DUSAN VELETIC,7,42.86
KENSHIN HOSOKAWA,4,75
PIETRO ROSSETTI,16,43.75
EVGENY SMIRNOV,19,15.79
QUATAVIOUS CASH,19,42.11
VADIM LUBSANOV,5,20
YURIK MAMEDOV,18,38.89
JAYSEVER ABCEDE,32,40.63
JERSON ORTIZ,23,34.78
DERRICK JACKSON,9,55.56
ALEKSANDR USTINOV,43,62.79
ELVIN GANBAROV,17,82.35
JOSEPH GOODALL,11,72.73
JESSIE WILCOX,18,55.56
SEONG YEONG YANG,17,23.53
RODOLFO GOMEZ JR,22,45.45
ALEXANDER ELIZAROV,10,30
RONALD CRUZ,21,57.14
KAMIL SOKOLOWSKI,40,10
TREY LIPPE,19,89.47
GERAM ELOYAN,12,58.33
FEDERICO SEBASTIAN PEDRAZA,16,12.5
JOEL DIAZ JR,29,75.86
JESUS RAMIREZ RUBIO,24,58.33
DAULET DAUKENOV,12,33.33
ZOLILE MIYA,18,33.33
JACOB BANK,7,42.86
MIKO KHATCHATRYAN,15,46.67
KEM LJUNGQUIST,14,57.14
GEROME WARBURTON,13,7.69
IRAKLI KURASBEDIANI,15,6.67
VOLKAN GOKCEK,11,54.55
DIEGO RAMIREZ,34,17.65
JESSE ESPINAS,25,44
FRANCISCO LOPEZ,17,64.71
EMILIANO DOMINGUEZ,38,26.32
CHRISTIAN THUN,9,66.67
NICOLAS HERNANDEZ,31,32.26
JOSE SALAS REYES,10,80
IVAN ALVAREZ,48,43.75
BAKHODUR USMONOV,3,0
JOSE GREGORIO SUERO,11,27.27
DANILA SEMENOV,5,40
JHONATAN CHICAIZA,11,27.27
SIMON DLADLA,8,62.5
BENITO SANCHEZ GARCIA,23,13.04
RAYMUNDO ROJAS GARCIA,7,71.43
PEDRO MARQUEZ MEDINA,15,66.67
ANDREY MANGUSHEV,6,66.67
ANGEL BELTRAN VILLA,15,60
JORGE BATALLA MARTINEZ,9,33.33
TOM MIZOKOSHI,14,28.57
ARNON YUPANG,12,25
JONATHAN PINEDO CASTANEDA,6,33.33
LOREN JAPHET,21,19.05
TROY O'MELEY,14,14.29
SAGADAT RAKHMANKUL,11,54.55
JORGE SANCHEZ ZARATE,11,54.55
GARY TAMAYO,8,50
DIEGO MONTALVO REYES,5,0
ASHTON SYLVE,7,100
MAKOTO KAWASAKI,23,8.7
DANIEL SANCHEZ BIVIESCA,15,40
DANTE BENJAMIN,4,50
GABRIEL JIMENEZ GOMEZ,7,71.43
LEANDRO SILVA,10,20
QUINCY LAVALLAIS,18,50
URMAT AMANKULOV,10,40
WILLY HUTCHINSON,15,66.67
ELLIS ZORRO,15,40
RAU'SHEE WARREN,24,20.83
BRANDON BREWER,29,37.93
JHUNRICK CARCEDO,9,88.89
GABRIEL MURATALLA,8,50
JUAN NICOLAS DE LEON,18,22.22
IVAN GARCIA CARRILLO,11,45.45
VALENTIN MARTINEZ GUZMAN,15,33.33
GIOVANNI ROSSETTI,11,27.27
MOUSSA GARY,20,5
ALEKSANDER RAMO,8,50
RYIZEEMMION FORD,10,60
SEBASTIEN BOUCHARD,22,36.36
JOEL MAFAUAD,8,37.5
DMITRY KUDRYASHOV,30,80
JIMMY FIRST,12,33.33
LUIS GUZMAN TORRES,11,45.45
MEHDI SELLAMI,17,17.65
RAUL SALOMON,12,75
DANIEL RUSSELL,13,30.77
EDUARDO DANIEL PENA,13,23.08
MUSA MOYO,5,0
JAVONN DAVIS,8,87.5
LEON BAUER,19,52.63
JA'RICO O'QUINN,17,47.06
HANNOCK PHIRI,6,66.67
DANIEL MERCADO,12,66.67
PAVEL SOSULIN,7,28.57
AGUSTIN PEREZ BALBUENA,12,33.33
NOBORU OSATO,26,11.54
RAIKO SANTANA,11,45.45
COURTNEY PENNINGTON,23,30.43
ALBON PERVIZAJ,19,68.42
MATHEW GONZALEZ,13,61.54
RICARDO BLANDON,22,45.45
JOSE DANIEL DZUL HOIL,14,28.57
LUCAS MILLER,15,20
ANGEL DANIEL GARCIA MOLINA,12,75
ABRAHAM RODRIGUEZ,32,40.63
NORIHITO TANAKA,29,34.48
JOSE MORALES DIAZ,18,72.22
ALEJANDRO GUERRERO,15,60
HARRY SIMON,17,64.71
ZEUS VARGUEZ SOBERANIS,4,75
ALFONSO OLVERA,22,18.18
ARTURO IVAN HERNANDEZ,9,11.11
VINCENZO LA FEMINA,11,54.55
AOBA MORI,12,8.33
ALVIN MEDURA,17,41.18
MICHAL SYROWATKA,29,27.59
JORICK LUISETTO,16,18.75
MARQUES VALLE,6,100
ANDREY MAIK,10,10
RYAN O'ROURKE,8,12.5
RODRIGO LABRE,13,15.38
SUBARU MURATA,2,100
JOHN CARTER,15,46.67
DAVIDE TASSI,14,42.86
DYLAN COLIN,11,27.27
NIKITA ZON,5,60
JEFFREY TORRES,13,46.15
CARLOS MUJICA,7,14.29
ROBERT KEVIN GARCIA,14,50
INNOCENT MANTENGU,22,22.73
TERRY OSIAS,10,40
TOMONORI NAGAO,8,37.5
STEFANO RAMUNDO,10,10
CARLOS MEJIA,12,16.67
CRISTOBAL LORENTE,15,40
OSKARI METZ,17,35.29
ARBER BELLEGU,11,100
MOISES FUENTES,33,42.42
ARVIN MAGRAMO,16,56.25
ALEXEI GUIBERT,3,66.67
OMAR CHAVEZ,47,53.19
MARCUS HEYWOOD,11,36.36
EMANUELE CAVALLUCCI,20,20
SHARONE CARTER,18,16.67
CALEB HERNANDEZ,8,87.5
DANIEL BLENDA DOS SANTOS,21,47.62
ZHANKOSH TURAROV,25,72
ESTEURI METIVER SUERO,11,81.82
KINGSLEY IBEH,10,60
TSENDBAATAR ERDENEBAT,4,50
ALFREDO MEJIA VARGAS,22,27.27
ALAN SALAZAR BLANCO,23,13.04
DAE HYUN BAEK,4,75
RONEY HINES,12,66.67
DANIEL ZARAGOZA GARCIA,7,57.14
SALIM LARBI,36,22.22
SION YAXLEY,11,18.18
ALEXIS SALAZAR FLORES,28,32.14
DAVID CARMONA,37,24.32
ANTOINE VANACKERE,19,52.63
NOEL ECHEVARRIA,27,44.44
TIM VOESSING,9,44.44
BILLY DENIZ,6,66.67
KODJO YETONGNON,16,6.25
FERNANDO ANGEL MOLINA,9,33.33
JOUSCE GONZALEZ,14,85.71
MARCIO SOZA,31,38.71
RENOLD QUINLAN,26,38.46
FRANCISCO DANIEL VERON,9,77.78
SAPARBAY AIDAROV,7,28.57
YOSIF PANOV,25,44
JI MIN YUH,5,40
BRIAN MOSINOS,26,19.23
FLAME NANGOLO,7,14.29
JUANITO PAREDES,18,22.22
ERNESTO SALCEDO,16,68.75
GABRIEL OMAR DIAZ,16,25
ROBERTO VALENZUELA JR,22,86.36
TROY ISLEY,7,57.14
ALEKSEI MAZUR,5,60
JUAN TAPIA,16,25
DIEGO NATCHOO,32,18.75
BILAL AKKAWY,23,69.57
GABRIEL ALBERTO CORZO,17,17.65
BENJAMIN HUSSAIN,8,37.5
MUSASHI YOSHINO,18,22.22
LEMMY SIMBEYE,1,0
GERONIMO MANUEL VAZQUEZ,13,23.08
MAAMAR MAHRACHE,9,22.22
JORGE PEREZ SANCHEZ,16,31.25
KEESHAWN WILLIAMS,11,18.18
CHRIS CHATMAN,29,17.24
JOHN VINCENT MORALDE,31,48.39
HIROSHIGE OSAWA,47,44.68
KAZUMA SANPEI,28,32.14
DENNIS MCCANN,13,53.85
KEISUKE IWASAKI,12,16.67
THITISAK HOITONG,4,50
ARNOLD GONZALEZ,10,50
ABRAHAM JUAREZ RAMIREZ,29,27.59
SHUN AKAIWA,12,41.67
JOHNNY FISHER,6,83.33
ANDREAS KATZOURAKIS,7,71.43
FATIH ALTUNKAYA,28,92.86
JOSE FAJARDO GALVEZ,20,55
BRANDYN LYNCH,15,53.33
SUMBU NSASI,10,60
RAMIL GADZHYIEV,16,50
JOSE ROA CORDOVA,15,46.67
RICARDO ADRIAN LUNA,33,45.45
VAIRO LENTI,15,6.67
SHINNOSUKE HASEGAWA,19,47.37
KHURSHID TOJIBAEV,6,50
NEERAJ GOYAT,22,31.82
BRALTON MUNOZ DAVILA,9,11.11
LEE CUTLER,12,58.33
TRISTAN JAMES,13,30.77
HECTOR ROBLES,18,16.67
WATARU IKEGAMI,17,29.41
MIKYO WATARAI,1,100
ANTHONY CUBA,6,50
NESTOR RAUL POMPONIO,8,37.5
BRYAN JIMENEZ,10,60
KACPER MEYNA,9,44.44
CARLOS RAMOS,18,55.56
JUAN ST JUSCA,5,40
ARTURO SEGUNDO GERONIMO,18,33.33
TOBIAS JEREMIAS REYES,8,87.5
NORMAN NEELY,13,61.54
LUKE EVANS,13,7.69
KANE WATTS,26,50
LIAM DILLON,12,25
AYUMU HANADA,9,55.56
LACHLAN HIGGINS,15,20
CESAR GUTIERREZ FLORES,16,31.25
GINO KANTERS,16,25
UISMA LIMA,7,85.71
NICOLAS DAVID VERON,18,16.67
MIN HO JUNG,18,16.67
JOSHUA JOHN,5,0
JOSE MANUEL GARCIA VAZQUEZ,19,78.95
SONNY CONTO,10,80
SERGIO MANUEL LIENDO,22,18.18
MICHAEL MOORE,22,36.36
GREGORY MORALES,14,57.14
TRAVON MARSHALL,6,83.33
JACK GIPP,7,42.86
ROBERTO GARCIA,51,54.9
BELMAR PRECIADO,27,51.85
MARTIN PAREDES,5,40
KONRAD KACZMARKIEWICZ,7,28.57
DIEGO COSTA,9,55.56
MERYL VEGAS,29,0
JUAN HINOSTROZA,23,21.74
MASON CARTWRIGHT,22,31.82
JHERITZ CHAVEZ,16,50
JOSUE MORALES,41,19.51
ANDY DOMINGUEZ VELASQUEZ,7,71.43
KANTA FUKUI,14,42.86
CRISTOPHER RIOS,9,66.67
PRZEMYSLAW GORGON,26,23.08
YANG JI KIM,8,50
JUNYA SHIMADA,2,0
CARLOS PEREZ,26,7.69
DIEGO ANDRADE CHAVEZ,23,4.35
LUCAS BALLINGALL,17,23.53
ARTURS GORLOVS,12,66.67
KAROON JARUPIANLERD,61,37.7
HONG QUAN DINH,11,36.36
TAIGA IMANAGA,2,100
TOMASZ NOWICKI,12,25
SAM NOAKES,9,100
JOSE RIVAS,35,28.57
DEVIN VARGAS,30,30
DMITRY KULAKOV,9,11.11
ANDREA FONTANA,8,50
CALLUM WALSH,4,75
EGZON MALIQAJ,11,54.55
KOSUKE ANDO,14,35.71
VASILY SHTYK,9,44.44
PAVEL MALIKOV,23,26.09
KIERAN GETHING,15,13.33
EDDIE RAMIREZ,21,52.38
MAKSYM MISHCHENKO,10,30
KAROL WELTER,12,25
LUCAS BAHDI,12,91.67
GRIGOR SARUHANIAN,24,33.33
KAIKI YUBA,12,41.67
ERMAL HADRIBEAJ,15,40
KOOS SIBIYA,46,6.52
ALAN EZEQUIEL DUTRA,7,57.14
STEPHANE FONDJO,10,80
JAVIER FRANCISCO MACIEL,51,45.1
TETSURO OHASHI,12,16.67
MICKEY ELLISON,17,29.41
JESUS ADRIAN DANEFF,22,18.18
JORGE LEYVA TORRES,12,75
TOM SCHWARZ,28,67.86
MASOOD ABDULAH,6,83.33
CARLOS CASTRO MANZO,7,42.86
